Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
NUSC,4632,0,0.00,27,36.62,37.98,3832,800
VIXM,4201,100,38.07,100,36.77,37.33,3994,207
CEFS,4161,0,0.00,155,19.10,19.69,4161,0
PTEU,4110,0,0.00,0,0.00,22.40,4110,0
MOTI,4098,0,0.00,0,0.00,33.46,4098,0
BJAN,3996,0,0.00,0,0.00,32.67,3996,0
BSEP,3866,0,0.00,0,0.00,29.10,3866,0
IQDG,3865,0,0.00,0,0.00,36.68,3665,200
KNG,3862,0,0.00,0,0.00,47.06,2560,1302
CEMB,3834,0,0.00,0,0.00,53.09,3434,400
NUMV,3789,0,0.00,0,0.00,29.69,3789,0
WFIG,3725,0,0.00,0,0.00,55.84,3725,0
REGL,3694,0,0.00,0,0.00,62.36,3694,0
DFNV,3693,0,0.00,0,0.00,25.80,3547,146
WFHY,3560,0,0.00,0,0.00,52.38,3560,0
DAUG,3445,0,0.00,0,0.00,33.15,3445,0
VXZ,3398,0,0.00,0,0.00,31.36,3398,0
HYDB,3376,0,0.00,100,50.95,51.15,3376,0
NULG,3363,0,0.00,0,0.00,55.86,3362,1
NULV,3319,10,34.00,5,31.00,32.52,3319,0
FDG,3252,0,0.00,5,73.80,74.02,3252,0
DTEC,3205,3,46.25,0,0.00,45.88,3205,0
SMIN,3203,173,42.00,0,0.00,41.99,3203,0
FLQL,3198,0,0.00,0,0.00,37.51,2898,300
QVAL,3144,0,0.00,0,0.00,28.28,3144,0
PFEB,2953,0,0.00,0,0.00,26.20,2953,0
JPIB,2849,0,0.00,0,0.00,52.00,2849,0
BBIN,2823,0,0.00,0,0.00,55.80,2823,0
QMOM,2811,0,0.00,0,0.00,51.99,2809,2
AFIF,2742,0,0.00,0,0.00,9.78,2650,92
EDEN,2731,0,0.00,0,0.00,98.95,2731,0
BDEC,2717,0,0.00,0,0.00,30.32,2717,0
KAPR,2712,100,26.88,0,0.00,26.85,2712,0
TOKE,2681,0,0.00,2,14.50,14.64,2681,0
MAGA,2543,0,0.00,1,28.13,29.26,2543,0
BAPR,2541,0,0.00,0,0.00,29.67,2541,0
NUMG,2501,0,0.00,108,48.27,49.13,2501,0
NUEM,2495,0,0.00,0,0.00,33.13,2495,0
UAUG,2482,0,0.00,0,0.00,27.80,2482,0
BUYZ,2431,0,0.00,1,50.71,51.18,2430,1
USMF,2388,0,0.00,5,33.30,34.91,2388,0
GVAL,2382,0,0.00,0,0.00,21.49,2382,0
TRTY,2289,0,0.00,0,0.00,24.25,2289,0
PTNQ,2275,0,0.00,0,0.00,52.03,2275,0
DALT,2267,0,0.00,0,0.00,9.54,2267,0
SYLD,2248,0,0.00,0,0.00,43.97,2248,0
FMIL,2225,0,0.00,0,0.00,23.98,2225,0
VFMO,2212,0,0.00,1,111.34,111.87,1286,926
GOVZ,2150,0,0.00,0,0.00,23.54,2150,0
KOCT,2091,0,0.00,0,0.00,25.88,2091,0
XSHQ,2083,0,0.00,0,0.00,32.00,2083,0
JPHY,2082,20,52.04,0,0.00,51.94,1587,495
FUNL,2045,0,0.00,0,0.00,28.14,2045,0
IEHS,2032,0,0.00,10,36.87,37.07,2032,0
IAUF,2013,0,0.00,1,58.05,58.25,2013,0
NJAN,1883,0,0.00,0,0.00,38.10,1883,0
STOT,1808,0,0.00,0,0.00,49.85,1808,0
ENOR,1744,0,0.00,0,0.00,25.05,1744,0
OEUR,1725,0,0.00,0,0.00,24.94,1725,0
IBMQ,1701,0,0.00,0,0.00,27.60,1701,0
UJUL,1697,0,0.00,0,0.00,26.42,1697,0
PDEC,1657,0,0.00,0,0.00,28.93,1657,0
OSCV,1628,0,0.00,0,0.00,27.72,1628,0
ADME,1621,0,0.00,0,0.00,35.83,1621,0
BUFR,1603,0,0.00,0,0.00,21.35,1603,0
FFSG,1580,0,0.00,10,30.45,31.12,1580,0
IEME,1576,0,0.00,0,0.00,33.49,1560,16
BOSS,1573,0,0.00,2,29.37,30.76,1568,5
IEDI,1542,0,0.00,4,39.00,40.30,1542,0
EFNL,1501,0,0.00,2,35.00,44.85,1501,0
TPAY,1475,0,0.00,0,0.00,44.46,1475,0
IYLD,1465,0,0.00,0,0.00,23.95,1465,0
BBRE,1425,0,0.00,0,0.00,78.04,1305,120
RESE,1423,0,0.00,0,0.00,35.27,1423,0
IETC,1421,75,47.90,12,46.95,47.62,1421,0
